Total runtime (s),Hits channel 1,Hits channel 2,Lifetimes (ns),Delta times (ns),Total coincidences
,,,5100,-10.0,
,,,660,-14.0,
,,,4170,2.5,
,,,1640,-8.5,
,,,1020,-6.5,
,,,3360,2.5,
,,,340,-4.0,
,,,3240,5.0,
,,,1600,-3.0,
,,,1210,-3.5,
,,,1830,2.0,
,,,570,-5.0,
,,,560,2.0,
,,,670,-1.5,
,,,2500,0.5,
,,,240,7.5,
,,,260,-8.0,
,,,3270,0.0,
,,,4110,-3.5,
,,,420,12.5,
,,,1830,1.5,
,,,790,-23.5,
,,,6850,-1.5,
,,,2190,-4.0,
,,,6890,11.0,
,,,1760,-6.5,
,,,4780,-16.0,
,,,1480,-6.0,
,,,5970,4.0,
,,,14730,-14.0,
,,,1590,-4.0,
,,,2280,-3.0,
,,,3420,-8.0,
,,,1010,-4.0,
,,,2840,-3.0,
,,,780,-4.5,
,,,4430,-12.0,
,,,4400,-9.0,
,,,140,-0.5,
,,,2910,-4.0,
,,,2720,-15.5,
,,,1400,-10.5,
,,,2520,-6.5,
,,,4370,-7.5,
,,,3170,-11.0,
,,,900,-5.0,
,,,1170,-5.5,
,,,380,-0.5,
,,,260,0.0,
,,,3830,1.5,
,,,5250,-7.0,
,,,3870,-9.0,
,,,730,-10.0,
,,,8060,-1.5,
,,,1430,-3.5,
,,,930,-8.0,
,,,420,-10.0,
,,,12050,-1.0,
,,,620,-4.0,
,,,930,0.5,
,,,360,-7.5,
,,,17450,-4.0,
,,,680,-1.0,
,,,8160,-2.5,
,,,1680,-5.5,
,,,1130,-1.5,
,,,780,0.5,
,,,1080,-7.5,
,,,660,-9.5,
,,,2090,-5.0,
,,,2330,-4.5,
,,,3310,4.0,
,,,610,-8.5,
,,,2640,2.5,
,,,1880,-10.5,
,,,300,-10.0,
,,,440,-16.5,
,,,1610,-8.0,
,,,13790,6.0,
,,,1070,1.0,
,,,280,-7.5,
,,,280,-4.0,
,,,1560,-2.5,
,,,190,-5.0,
,,,1200,-8.0,
,,,9400,-15.5,
,,,1170,-6.0,
,,,15230,-9.5,
,,,4540,0.0,
,,,2660,-5.0,
,,,6960,-10.0,
,,,550,-7.5,
,,,1210,-5.0,
,,,170,-6.5,
,,,1970,-10.5,
,,,1540,-4.5,
,,,1790,3.5,
,,,1000,-3.0,
,,,1690,0.5,
,,,670,-10.5,
,,,3830,-9.5,
,,,9450,-8.0,
,,,4780,-7.5,
,,,2490,491.0,
,,,1630,-2.5,
,,,1000,-3.5,
,,,4750,-7.5,
,,,460,-4.5,
,,,820,-8.0,
,,,3010,-7.0,
